name,price,image_url,product_url
"MacBook Air Apple 13"", M1, CPU 8 Núcleos, GPU 7 Núcleos, 8GB RAM, SSD 256GB, Cinza Espacial - MGN63BZ/A",5215.5,https://images.kabum.com.br/produtos/fotos/153433/macbook-air-apple-13-3-processador-m1-8gb-ssd-256gb-space-grey-mgn63bz-a_1616415939_m.jpg,/produto/153433/macbook-air-apple-13-m1-cpu-8-nucleos-gpu-7-nucleos-8gb-ram-ssd-256gb-cinza-espacial-mgn63bz-a
Suporte para CPU C3Tech com Rodas - SC-20BK,26.99,https://images.kabum.com.br/produtos/fotos/104163/suporte-para-cpu-c3-tech-sc-20bk-com-rodas-_suporte-para-cpu-c3-tech-sc-20bk-com-rodas-_1568211088_m.jpg,/produto/104163/suporte-para-cpu-c3tech-com-rodas-sc-20bk
"Mac Mini, Chip M2 da Apple com CPU de 8 núcleos e GPU de 10 núcleos, de 256 GB SSD, Prateado - MMFJ3BZ/A",3499.99,https://images.kabum.com.br/produtos/fotos/463161/mac-mini-chip-m2-da-apple-com-cpu-de-8-nucleos-e-gpu-de-10-nucleos-de-256-gb-ssd-prateado-mmfj3bz-a_1685018879_m.jpg,/produto/463161/mac-mini-chip-m2-da-apple-com-cpu-de-8-nucleos-e-gpu-de-10-nucleos-de-256-gb-ssd-prateado-mmfj3bz-a
"MacBook Air Apple 15"" Chip M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine 16 Núcleos, 16GB RAM, SSD 256GB, Meia-noite - MW1L3BZ/A",14489.87,https://images.kabum.com.br/produtos/fotos/726064/macbook-air-apple-15-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-meia-noite-mw1l3bz-a_1741863289_m.jpg,/produto/726064/macbook-air-apple-15-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-meia-noite-mw1l3bz-a
Computador PC Cpu Intel Core I5 8GB SSD 256gb Bestpc,579.9,https://images.kabum.com.br/produtos/fotos/sync_mirakl/705583/Computador-PC-Cpu-Intel-Core-I5-8GB-SSD-256gb-Bestpc_1738353204_m.jpg,/produto/705583/computador-pc-cpu-intel-core-i5-8gb-ssd-256gb-bestpc
PC Cpu Intel Core i5 3470+ 16gb Ram+ SSD 240GB+wifi+win 11,1000.0,https://images.kabum.com.br/produtos/fotos/sync_mirakl/833838/medium/PC-Cpu-Intel-Core-i5-3470-16gb-Ram-SSD-240GB-wifi-win-11_1747155581.jpg,/produto/833838/pc-cpu-intel-core-i5-3470-16gb-ram-ssd-240gb-wifi-win-11
"PC Cpu Desktop Tbi, Intel i7 3.4 Ghz, 16GB RAM, SSD 240GB, Windows 10 Pro",1019.99,https://images.kabum.com.br/produtos/fotos/sync_mirakl/752985/medium/PC-Cpu-Desktop-Tbi-Intel-i7-3-4-Ghz-16GB-RAM-SSD-240GB-Windows-10-Pro_1743705642.png,/produto/752985/pc-cpu-desktop-tbi-intel-i7-3-4-ghz-16gb-ram-ssd-240gb-windows-10-pro
PC Cpu I7 8700 8a Geração Ddr4 16gb 480GB Gt730 4gb 500w,2999.0,https://images.kabum.com.br/produtos/fotos/sync_mirakl/627653/PC-Cpu-I7-8700-8a-Gera-o-Ddr4-16gb-480GB-Gt730-4gb-500w_1729964767_m.jpg,/produto/627653/pc-cpu-i7-8700-8a-geracao-ddr4-16gb-480gb-gt730-4gb-500w
PC Gamer Cpu Intel I5 3.2ghz SSD 480GB Memoria Ram 16gb 500w,1251.15,https://images.kabum.com.br/produtos/fotos/sync_mirakl/583554/medium/PC-Gamer-Cpu-Intel-I5-3-2ghz-SSD-480GB-Memoria-Ram-16gb-500w_1740001889.png,/produto/583554/pc-gamer-cpu-intel-i5-3-2ghz-ssd-480gb-memoria-ram-16gb-500w
"Pc Cpu I7 4770 4ª Ger 3.4ghz, 16GB Ram, SSD 480GB 500w Wi-fi",1900.0,https://images.kabum.com.br/produtos/fotos/sync_mirakl/442851/Pc-Solucoes-Informatica-I7-4770-4-Ger-16GB-RAM-SSD-480GB-3-4ghz-500w-Wi-fi_1729798880_m.jpg,/produto/442851/pc-cpu-i7-4770-4-ger-3-4ghz-16gb-ram-ssd-480gb-500w-wi-fi
"MacBook Air Apple 13"" Chip M4, CPU 10 Núcleos, GPU 8 Núcleos, Neural Engine 16 Núcleos, 16GB RAM, SSD 256GB, Meia-noite - MW123BZ/A",9199.0,https://images.kabum.com.br/produtos/fotos/726058/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-meia-noite-mw123bz-a_1741784350_m.jpg,/produto/726058/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-meia-noite-mw123bz-a
"MacBook Air Apple 13"" Chip M4, CPU 10 Núcleos, GPU 8 Núcleos, Neural Engine 16 Núcleos, 16GB RAM, SSD 256GB, Prateado - MW0W3BZ/A",11999.99,https://images.kabum.com.br/produtos/fotos/726054/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-prateado-mw0w3bz-a_1741783636_m.jpg,/produto/726054/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-prateado-mw0w3bz-a
"MacBook Pro Apple 14"", M4 Pro, CPU 12 Núcleos, GPU 16 Núcleos, Neural Engine de 16 Núcleos, 24GB RAM, SSD 512GB, Preto-espacial - MX2H3BZ/A",17199.0,https://images.kabum.com.br/produtos/fotos/658785/macbook-pro-apple-14-m4-pro-cpu-12-nucleos-gpu-16-nucleos-24gb-ram-ssd-512gb-preto-espacial-mx2h3bz-a_1730990780_m.jpg,/produto/658785/macbook-pro-apple-14-m4-pro-cpu-12-nucleos-gpu-16-nucleos-neural-engine-de-16-nucleos-24gb-ram-ssd-512gb-preto-espacial-mx2h3bz-a
"MacBook Pro Apple 14"", M3, CPU 8 núcleos, GPU 10 Núcleos, 8GB RAM, SSD 1TB, Prateado - MR7K3BZ/A",12699.0,https://images.kabum.com.br/produtos/fotos/505662/notebook-macbook-pro-apple-tela-retina-14-chip-m3-8gb-ram-cpu-8-nucleos-gpu-10-nucleos-ssd-1tb-prateado-mr7k3bz-a_1703082861_m.jpg,/produto/505662/macbook-pro-apple-14-m3-cpu-8-nucleos-gpu-10-nucleos-8gb-ram-ssd-1tb-prateado-mr7k3bz-a
"MacBook Pro Apple 14"", M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine de 16 Núcleos, 24GB RAM, SSD 1TB, Preto-espacial - MCX04BZ/A",17299.0,https://images.kabum.com.br/produtos/fotos/658803/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-24gb-ram-ssd-1tb-preto-espacial-mcx04bz-a_1731077799_m.jpg,/produto/658803/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-24gb-ram-ssd-1tb-preto-espacial-mcx04bz-a
"MacBook Air Apple 13"" Chip M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine 16 Núcleos, 16GB RAM, SSD 512GB, Prateado - MW0X3BZ/A",10999.0,https://images.kabum.com.br/produtos/fotos/726055/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-512gb-prateado-mw0x3bz-a_1741789074_m.jpg,/produto/726055/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-512gb-prateado-mw0x3bz-a
Suporte Para Cpu E Estabilizador Com Rodinhas Netmobil - Preto,69.2,https://images.kabum.com.br/produtos/fotos/sync_mirakl/643483/Suporte-Para-Cpu-E-Estabilizador-Com-Rodinhas-Netmobil-Preto_1727900792_m.jpg,/produto/643483/suporte-para-cpu-e-estabilizador-com-rodinhas-netmobil-preto
"MacBook Pro Apple 14"", M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine de 16 Núcleos, 16GB RAM, SSD 1TB, Prateado - MW2X3BZ/A",15499.0,https://images.kabum.com.br/produtos/fotos/658773/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-16gb-ram-ssd-1tb-prateado-mw2x3bz-a_1730731025_m.jpg,/produto/658773/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-16gb-ram-ssd-1tb-prateado-mw2x3bz-a
"MacBook Pro Apple 14"", M4 Pro, CPU 12 Núcleos, GPU 16 Núcleos, Neural Engine de 16 Núcleos, 24GB RAM, SSD 512GB, Prateado - MX2E3BZ/A",17099.0,https://images.kabum.com.br/produtos/fotos/658782/macbook-pro-apple-14-m4-pro-cpu-12-nucleos-gpu-16-nucleos-24gb-ram-ssd-512gb-prateado-mx2e3bz-a_1730988650_m.jpg,/produto/658782/macbook-pro-apple-14-m4-pro-cpu-12-nucleos-gpu-16-nucleos-neural-engine-de-16-nucleos-24gb-ram-ssd-512gb-prateado-mx2e3bz-a
"MacBook Pro Apple 14"", M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine de 16 Núcleos, 16GB RAM, SSD 1TB, Preto-espacial - MW2V3BZ/A",15599.99,https://images.kabum.com.br/produtos/fotos/658771/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-16gb-ram-ssd-1tb-preto-espacial-mw2v3bz-a_1730729092_m.jpg,/produto/658771/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-16gb-ram-ssd-1tb-preto-espacial-mw2v3bz-a
"MacBook Pro Apple 14"", M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine de 16 Núcleos, 24GB RAM, SSD 1TB, Prateado - MCX14BZ/A",17199.0,https://images.kabum.com.br/produtos/fotos/658804/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-24gb-ram-ssd-1tb-prateado-mcx14bz-a_1731077202_m.jpg,/produto/658804/macbook-pro-apple-14-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-de-16-nucleos-24gb-ram-ssd-1tb-prateado-mcx14bz-a
"MacBook Air Apple 13"" Chip M4, CPU 10 Núcleos, GPU 10 Núcleos, Neural Engine 16 Núcleos, 16GB, SSD 512GB, Azul-céu - MC6U4BZ/A",10999.0,https://images.kabum.com.br/produtos/fotos/726070/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ssd-512gb-azul-ceu-mc6u4bz-a_1741789673_m.jpg,/produto/726070/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-10-nucleos-neural-engine-16-nucleos-16gb-ssd-512gb-azul-ceu-mc6u4bz-a
